GEO,HCB_ALL,HCB_OWNER,HCB_RENTER,HCB_CB,HCB_CB_PCT,HCB_CB50,HCB_CB50_PCT
Seattle CCD,415308,211109,204199,161666,38.93,71901,17.31
Seattle,285459,135140,150319,107984,37.83,47608,16.68
009701,2895,1460,1435,1000,34.54,465,16.06
011600,2830,2270,560,805,28.45,265,9.36
005802,2625,1130,1495,880,33.52,285,10.86
011401,1700,810,890,690,40.47,300,17.6
007100,2130,555,1575,825,38.73,400,18.78
008100,2455,445,2010,1020,41.63,460,18.78
009300,945,495,450,430,45.5,135,14.29
009000,1550,415,1135,775,49.84,325,20.9
011101,1530,735,795,699,45.69,384,25.1
026001,25,25,0,0,0,0,0
005700,2855,1825,1030,990,34.68,435,15.24
001702,1925,1020,905,630,32.73,270,14.03
006000,2325,1365,960,740,31.9,280,12.07
001300,2180,745,1435,990,45.31,435,19.91
000300,1035,675,360,509,49.18,144,13.91
005200,2935,795,2140,1640,55.78,1110,37.76
003600,3120,1000,2120,1180,37.82,385,12.34
001200,3485,775,2710,1935,55.52,710,20.37
002600,1945,1250,695,534,27.46,149,7.66
005301,2770,100,2670,1705,61.66,1265,45.75
004302,1280,45,1235,930,72.66,640,50
004301,1395,705,690,605,43.37,325,23.3
005302,160,15,145,53,33.13,49,30.63
010600,3580,2310,1270,1090,30.45,460,12.85
007300,3025,245,2780,1320,43.64,515,17.02
026400,0,0,0,0,NA,0,NA
007402,3595,790,2805,1580,43.95,805,22.39
007600,1895,625,1270,624,32.93,214,11.29
008700,1625,625,1000,629,38.71,294,18.09
008800,1445,755,690,545,37.72,200,13.84
007700,2125,1310,815,835,39.29,425,20
005801,2625,1100,1525,1060,40.38,330,12.57
007000,4875,1115,3760,1715,35.18,610,12.51
005000,1860,510,1350,670,36.02,320,17.2
006100,2970,1080,1890,1070,36.03,215,7.24
002100,1640,1210,430,385,23.48,70,4.27
003800,870,655,215,250,28.74,95,10.92
006300,2680,1515,1165,890,33.21,545,20.34
004100,3110,2015,1095,1030,33.12,470,15.11
009600,2890,1630,1260,1020,35.29,485,16.78
012000,1455,1115,340,549,37.73,170,11.68
011500,1980,1405,575,725,36.62,325,16.41
010800,1680,1160,520,740,44.05,260,15.48
008500,1595,130,1465,735,46.23,355,22.33
007500,4230,715,3515,1940,45.86,810,19.15
011002,1260,595,665,549,43.57,270,21.43
002900,1760,1195,565,433,24.6,164,9.32
004800,2225,1155,1070,855,38.43,225,10.11
006800,1285,700,585,390,30.35,170,13.23
001100,1080,680,400,275,25.46,120,11.11
006400,1285,915,370,335,26.07,80,6.23
002400,1185,815,370,419,35.36,180,15.19
000800,1060,820,240,355,33.49,165,15.57
010701,1310,595,715,630,48.09,285,21.76
008300,1820,395,1425,784,43.2,359,19.78
009100,1295,70,1225,485,37.6,180,13.95
010002,1635,785,850,630,38.53,185,11.31
009400,2445,1045,1400,980,40.16,405,16.6
011001,1575,660,915,900,57.14,430,27.3
007800,2140,1730,410,720,33.64,340,15.89
001600,1830,1490,340,645,35.25,275,15.03
003000,2450,1705,745,665,27.09,165,6.72
006900,2050,1215,835,725,35.37,375,18.29
001400,2155,1170,985,750,34.8,255,11.83
001701,1935,980,955,555,28.68,160,8.27
004900,3600,1085,2515,1065,29.58,445,12.36
005100,1640,1080,560,525,32.01,175,10.67
004600,1435,975,460,420,29.27,190,13.24
002000,1565,975,590,625,39.81,250,15.92
001000,735,410,325,225,30.41,45,6.08
000700,2085,880,1205,935,44.74,455,21.77
000900,890,695,195,303,34.04,103,11.57
004000,1300,835,465,423,32.41,164,12.57
011402,1805,665,1140,610,33.8,210,11.63
007401,3135,680,2455,915,29.19,480,15.31
008400,2985,475,2510,1325,44.39,505,16.92
011200,1325,610,715,654,49.36,344,25.96
007900,2905,785,2120,1115,38.38,565,19.45
009500,2340,1640,700,770,32.91,180,7.69
011900,2515,1855,660,1225,48.71,485,19.28
003200,3930,1975,1955,1305,33.21,630,16.03
003500,1855,1040,815,704,37.95,294,15.85
000402,2320,1050,1270,1155,49.68,530,22.8
002800,1990,1135,855,805,40.45,385,19.35
005400,2565,1030,1535,895,34.89,225,8.77
006600,2030,380,1650,495,24.38,220,10.84
004500,970,610,360,362,37.32,174,17.94
009702,2180,1720,460,830,38.07,260,11.93
010500,3195,1300,1895,1050,32.86,530,16.59
007200,3665,285,3380,1590,43.38,850,23.19
026500,19,15,4,8,40,4,20
008600,1790,315,1475,1015,56.7,585,32.68
010900,630,195,435,310,49.21,130,20.63
010401,1415,1085,330,635,44.88,355,25.09
010100,2630,1560,1070,1240,47.15,665,25.29
011102,1435,935,500,620,43.21,290,20.21
005900,2655,1270,1385,855,32.2,515,19.4
003400,1460,985,475,400,27.4,150,10.27
000401,3075,1010,2065,1445,46.99,670,21.79
006700,3860,1410,2450,1315,34.07,570,14.77
001900,1920,970,950,660,34.38,265,13.8
000100,3055,925,2130,1155,37.75,565,18.46
008001,3810,1195,2615,1175,30.84,395,10.37
008002,2120,390,1730,670,31.53,410,19.29
010300,2330,1080,1250,1205,51.72,540,23.18
011700,1700,1150,550,815,48.08,390,23.01
011800,2860,1315,1545,1270,44.41,700,24.48
001500,1120,945,175,360,32.14,165,14.73
003100,2500,2085,415,705,28.2,265,10.6
003300,3160,1305,1855,1005,31.85,395,12.52
000500,1290,1225,65,344,26.77,209,16.26
006500,2360,1180,1180,735,31.08,270,11.42
009800,3015,1940,1075,930,30.85,365,12.11
012100,1185,1060,125,345,29.24,110,9.32
010702,1425,505,920,620,43.66,300,21.13
009900,2390,1295,1095,900,37.74,420,17.61
011300,2540,1275,1265,1375,54.13,770,30.31
008200,2335,280,2055,1020,43.59,560,23.93
009200,1730,75,1655,805,46.53,305,17.63
010402,1480,990,490,360,24.32,120,8.11
010001,1685,755,930,710,42.14,390,23.15
008900,2120,1270,850,935,44.1,425,20.05
010200,1940,1710,230,685,35.31,310,15.98
005600,2695,2410,285,810,30.06,340,12.62
004700,4090,925,3165,1505,36.8,445,10.88
001800,2240,1055,1185,650,29.02,235,10.49
002700,2120,1470,650,670,31.6,215,10.14
000600,3435,2015,1420,1270,37.03,740,21.57
004400,2355,660,1695,1010,42.89,640,27.18
000200,3570,1935,1635,1425,39.92,505,14.15
002500,1230,970,260,290,23.58,190,15.45
006200,1605,1345,260,500,31.15,230,14.33
003900,1200,920,280,339,28.25,204,17
004200,3170,2265,905,895,28.23,415,13.09
002200,2125,1915,210,620,29.18,200,9.41
12th Avenue,1790,315,1475,1015,56.7,585,32.68
23rd & Union-Jackson,7525,2580,4945,3064,40.72,1384,18.39
Capitol Hill,10960,2185,8775,4435,40.47,2095,19.11
Chinatown-International District,3025,145,2880,1290,42.64,485,16.03
First Hill,3415,525,2890,1519,44.48,714,20.91
Madison-Miller,1895,625,1270,624,32.93,214,11.29
Pike/Pine,2985,475,2510,1325,44.39,505,16.92
